scientific_name,common_name
cardinalis cardinalis,Northern Cardinal
spinus tristis,American Goldfinch
mimus polyglottos,Northern Mockingbird
passer domesticus,House Sparrow
turdus migratorius,American Robin
cyanocitta cristata,Blue Jay
haemorhous mexicanus,House Finch
poecile atricapillus,Black-capped Chickadee
sitta carolinensis,White-breasted Nuthatch
sturnus vulgaris,European Starling
corvus brachyrhynchos,American Crow
columba livia,Rock Pigeon
agelaius phoeniceus,Red-winged Blackbird
spizella passerina,Chipping Sparrow
quiscalus quiscula,Common Grackle
chlorospingus flavopectus,Common Chlorospingus
melanerpes carolinus,Red-bellied Woodpecker
dryobates pubescens,Downy Woodpecker
buteo jamaicensis,Red-tailed Hawk
cathartes aura,Turkey Vulture
chaetura pelagica,Chimney Swift
chordeiles minor,Common Nighthawk
bombycilla cedrorum,Cedar Waxwing
corvus ossifragus,Fish Crow
megascops asio,Eastern Screech-Owl
cygnus buccinator,Trumpeter Swan
passer montanus,Eurasian Tree Sparrow
buteo platypterus,Broad-winged Hawk
tyrannus tyrannus,Eastern Kingbird
streptopelia decaocto,Eurasian Collared-Dove
buteo lineatus,Red-shouldered Hawk
nycticorax nycticorax,Black-crowned Night-Heron
melanerpes erythrocephalus,Red-headed Woodpecker
anas platyrhynchos,Mallard
megaceryle alcyon,Belted Kingfisher
centronyx henslowii,Henslow's Sparrow
bubo virginianus,Great Horned Owl
tachycineta bicolor,Tree Swallow
vireo flavifrons,Yellow-throated Vireo
certhia americana,Brown Creeper
pluvialis squatarola,Black-bellied Plover
coragyps atratus,Black Vulture
archilochus colubris,Ruby-throated Hummingbird
dryocopus pileatus,Pileated Woodpecker
tringa solitaria,Solitary Sandpiper
falco sparverius,American Kestrel
charadrius vociferus,Killdeer
setophaga magnolia,Magnolia Warbler
geothlypis trichas,Common Yellowthroat
ardea alba,Great Egret
larus argentatus,Herring Gull
colaptes auratus,Northern Flicker
progne subis,Purple Martin
branta canadensis,Canada Goose
zenaida macroura,Mourning Dove
riparia riparia,Bank Swallow
actitis macularius,Spotted Sandpiper
passerculus sandwichensis,Savannah Sparrow
setophaga americana,Northern Parula
sterna forsteri,Forster's Tern
sitta canadensis,Red-breasted Nuthatch
baeolophus bicolor,Tufted Titmouse
anas crecca,Green-winged Teal
hirundo rustica,Barn Swallow
antigone canadensis,Sandhill Crane
leuconotopicus villosus,Hairy Woodpecker
haemorhous purpureus,Purple Finch
meleagris gallopavo,Wild Turkey
myiarchus crinitus,Great Crested Flycatcher
charadrius semipalmatus,Semipalmated Plover
ammodramus savannarum,Grasshopper Sparrow
polioptila caerulea,Blue-gray Gnatcatcher
vireo olivaceus,Red-eyed Vireo
falco columbarius,Merlin
setophaga striata,Blackpoll Warbler
tringa melanoleuca,Greater Yellowlegs
hydroprogne caspia,Caspian Tern
sayornis phoebe,Eastern Phoebe
pipilo erythrophthalmus,Eastern Towhee
sialia sialis,Eastern Bluebird
astur cooperii,Cooper's Hawk
eremophila alpestris,Horned Lark
anas acuta,Northern Pintail
